,PercentTradesNeverDelq_2<=0.5_importance,MaxDelq2PublicRecLast12M_0<=0.5_importance,MSinceMostRecentInqexcl7days_1<=0.5_importance,NetFractionRevolvingBurden_0<=0.5_importance,NetFractionRevolvingBurden_4<=0.5_importance,AverageMInFile_0<=0.5_importance,train_acc,train_f1,test_acc_complete,test_f1_complete,test_acc_all,test_f1_all,n_leaves,train_loss
294,0.13306246825799906,0.0,0.0,0.0,0.0,0.0,0.6377179617403081,0.6184022824536377,0.6068090787716955,0.5813788201847904,0.5360281195079086,0.519781718963165,2,0.36228203825969074
295,0.12510580667005244,0.0,0.0,0.0,0.0,0.06196038598273235,0.680717792449636,0.7021478205938092,0.6562082777036048,0.68032278088144,0.5797451669595782,0.6077506663932746,4,0.3192822075503665
296,0.13458608430675467,0.0,0.0,0.0,0.0,0.062468257998984256,0.680717792449636,0.7021478205938092,0.6562082777036048,0.68032278088144,0.5905096660808435,0.6215996751928542,4,0.3192822075503676
297,0.07922803453529714,0.0,0.0,0.01405112578296941,0.05298798036228203,0.03368884374470971,0.6986626036905367,0.711600777705768,0.6668891855807744,0.6749185667752443,0.5753514938488576,0.5874066168623265,5,0.30133739630946366
298,0.10512950736414417,0.0,0.0,0.0,0.05264939901811405,0.055019468427289664,0.7005248010834603,0.7341848234410218,0.670894526034713,0.7060226595110316,0.4446397188049209,0.5603478260869565,5,0.2994751989165413
299,0.0766886744540376,0.0,0.0,0.028440832910106684,0.039783307939732615,0.05975960724564078,0.7012019637717962,0.7205067300079177,0.6755674232309746,0.6912325285895807,0.5981985940246046,0.6226531875386837,5,0.29879803622820417
300,0.0,0.07838158117487726,0.0,0.0,0.07008633824276278,0.06094464195022853,0.697138987641781,0.699277189443604,0.6735647530040053,0.6750830564784053,0.5979789103690686,0.6045808124459809,5,0.30286101235821883
301,0.0,0.07804299983070939,0.0,0.0,0.06754697816150335,0.057897409852717074,0.697138987641781,0.699277189443604,0.6735647530040053,0.6750830564784053,0.5979789103690686,0.6045808124459809,5,0.30286101235822016
302,0.0,0.08109023192822074,0.0,0.00846453360419841,0.04926358557643473,0.06060606060606066,0.697138987641781,0.699277189443604,0.6735647530040053,0.6750830564784053,0.5979789103690686,0.6045808124459809,5,0.3028610123582202
303,0.0822752666328086,0.0,0.04012188928390048,0.0,0.03656678517013712,0.04520060944641957,0.6944303368884375,0.7045342936650844,0.6755674232309746,0.6827676240208878,0.22363796133567662,0.22838427947598253,5,0.30556966311156364
304,0.11579481970543415,0.0,0.0,0.0,0.05248010834603012,0.05214152700186214,0.7005248010834603,0.7341848234410218,0.670894526034713,0.7060226595110316,0.4461775043936731,0.5620983150946673,5,0.2994751989165414
305,0.0,0.05637379380396146,0.0,0.017606229896732772,0.05637379380396146,0.05535804977145764,0.6932453021838497,0.6868302799861735,0.6728971962616822,0.663923182441701,0.5924868189806678,0.5882352941176471,5,0.3067546978161514
306,0.10614525139664799,0.0,0.0,0.0,0.04977145759268664,0.049940748264770574,0.7005248010834603,0.7341848234410218,0.670894526034713,0.7060226595110316,0.5764499121265377,0.6145541783286685,5,0.2994751989165425
307,0.0,0.08616895209073983,0.0,0.0,0.08346030133739635,0.0,0.664973759945827,0.6231194058274614,0.6328437917222964,0.5807926829268293,0.5415202108963093,0.49060288015621184,3,0.3350262400541695
308,0.0,0.058913153885221003,0.0,0.005586592178770999,0.069239884882343,0.05942102590147291,0.6932453021838497,0.6868302799861735,0.6728971962616822,0.663923182441701,0.5746924428822495,0.5623869801084991,5,0.3067546978161514
309,0.11799559844252583,0.0,0.0,0.0,0.050617910953106415,0.05485017775520562,0.7005248010834603,0.7341848234410218,0.670894526034713,0.7060226595110316,0.5942442882249561,0.6366319102891993,5,0.29947519891654195
310,0.08379888268156432,0.0,0.019468427289656365,0.0,0.061791095310648414,0.05366514305061798,0.7028948704926359,0.7233170424089548,0.6728971962616822,0.6918238993710691,0.4742970123022847,0.4618844164605352,5,0.29710512950736584
311,0.11477907567293044,0.0,0.0,0.0,0.06534619942441167,0.0,0.6819028271542238,0.693424702235275,0.6435246995994659,0.6496062992125984,0.5676625659050967,0.5856842105263158,4,0.318097172845778
